Historical Rts2 Publication Microsecond,Historical Rts2 Trading Microsecond,Historical Rts2 Instrument Identification Code,Instruments New Instrument Full Name,Historical Rts2 Transaction Identification Code,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Price Notation,Historical Rts2 Price,Historical Rts2 Price Currency,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Flag List,Historical Rts2 Count Event
2022-04-19 05:27:23.000000,2022-03-15 10:51:48.690000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208289380048391083,TREA,TRADEWEB APA,PERC,92.401,USD,4000000,USD,FULJ ILQD SIZE,1
2022-04-19 07:33:28.242000,2022-03-16 14:16:07.116000,US298785JL15,European Investment Bank DL Notes 2021 31 ,0897e0fa-707d-44ab-aff5-7fb67baf8d1f,BTFE,BLOOMBERG,PERC,92.085,,20000,USD,FULJ ILQD,1
2022-04-19 07:34:57.705000,2022-03-16 14:17:12.332000,US298785JL15,European Investment Bank DL Notes 2021 31 ,e6f7ab8d-14f0-4481-9538-429df37c1d3d,BTFE,BLOOMBERG,PERC,91.959,,20000,USD,FULJ ILQD,1
2022-04-19 07:40:40.939000,2022-03-16 14:26:53.032000,US298785JL15,European Investment Bank DL Notes 2021 31 ,026c08ea-bd34-42b5-80cf-d8884abea9f4,BTFE,BLOOMBERG,PERC,92.036,,50000,USD,FULJ ILQD,1
2022-04-19 07:46:05.578000,2022-03-18 11:43:56.413000,US298785JL15,European Investment Bank DL Notes 2021 31 ,46749774-83fa-49f0-a704-a41b3503fc20,BTFE,BLOOMBERG,PERC,92.3,,25000,USD,FULJ ILQD,1
2022-04-19 05:03:28.000000,2022-03-18 13:30:01.429000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208289380048320042,TREU,TRADEWEB,PERC,91.872,USD,4000000,USD,FULJ ILQD SIZE,1
2022-03-22 16:30:41.400000,2022-03-18 14:45:26.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,7de30d04-72cb-40db-8c53-c16ee97d5f7a,BAPE,BLOOMBERG APA,PERC,92.1019,,100000,USD,ILQD,1
2022-04-26 06:50:59.927000,2022-03-21 13:50:05.213000,US298785JL15,European Investment Bank DL Notes 2021 31 ,0b8b82db-c9e9-4b0a-93a6-8ee94fb92f8a,BTFE,BLOOMBERG,PERC,91.543,,50000,USD,FULJ ILQD,1
2022-04-26 07:38:55.582000,2022-03-21 14:46:18.678000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2adbe28f-8af0-4b1e-9888-d2c8739c139e,BAPA,BLOOMBERG APA,PERC,91.371,,409000,USD,FULJ LRGS,1
2022-04-26 06:52:40.309000,2022-03-22 08:33:07.289000,US298785JL15,European Investment Bank DL Notes 2021 31 ,1c4326b1-f394-4ba6-8835-145028c2408c,BTFE,BLOOMBERG,PERC,90.527,,9000000,USD,FULJ SIZE,1
2022-04-26 06:41:13.433000,2022-03-23 09:21:00.797000,US298785JL15,European Investment Bank DL Notes 2021 31 ,e1f24bae-99b4-4f6a-be8e-c0dba64265b9,BTFE,BLOOMBERG,PERC,90.395,,40000,USD,FULJ ILQD,1
2022-04-26 06:49:30.549000,2022-03-23 11:21:20.124000,US298785JL15,European Investment Bank DL Notes 2021 31 ,faf94dd2-4406-4985-b616-5afa89fca090,BTFE,BLOOMBERG,PERC,90.2,,5635000,USD,FULJ ILQD,1
2022-04-26 06:47:41.241000,2022-03-23 13:13:01.491000,US298785JL15,European Investment Bank DL Notes 2021 31 ,11b63115-4180-4fd6-800d-f715d5922a1f,BTFE,BLOOMBERG,PERC,90.368,,65000,USD,FULJ ILQD,1
2022-04-26 05:33:12.000000,2022-03-23 13:56:34.586000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208297076629842669,TREA,TRADEWEB APA,PERC,90.444,USD,300000,USD,FULJ ILQD,1
2022-03-25 16:30:51.341000,2022-03-23 13:57:30.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,b29e9064-91ea-4141-adcc-8578970744df,BAPE,BLOOMBERG APA,PERC,90.533,,445000,USD,ILQD,1
2022-04-26 07:45:33.736000,2022-03-24 12:34:34.244000,US298785JL15,European Investment Bank DL Notes 2021 31 ,03976736-ddb8-4e8c-a693-36e3b37c2241,BAPA,BLOOMBERG APA,PERC,90.3,,2000000,USD,FULJ LRGS,1
2022-04-26 05:34:01.000000,2022-03-24 13:57:03.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208297076629883237,TREA,TRADEWEB APA,PERC,90.296,USD,150000,USD,FULJ ILQD,1
2022-04-26 05:21:24.104880,2022-03-24 16:37:02.347000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2204260621240379351,MAEL,MARKETAXESS,PERC,90.483,USD,13390000,USD,ILQD LRGS TPAC,1
2022-04-26 06:38:40.243000,2022-03-25 10:36:14.750000,US298785JL15,European Investment Bank DL Notes 2021 31 ,c43e3ebe-5bd0-423d-ac87-50d30414f4d6,BTFE,BLOOMBERG,PERC,90.423,,5000,USD,FULJ ILQD,1
2022-05-03 05:34:20.000000,2022-03-28 13:45:41.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208304773211116562,TREA,TRADEWEB APA,PERC,89.637,USD,550000,USD,FULJ ILQD SIZE,1
