Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-08 15:24:36.915397,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,117000,EUR,98.324,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800895
2022-07-01 14:59:52.295914,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,139000,EUR,99.234,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800512
2022-06-30 15:24:42.911938,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,6000,EUR,97.871,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,801057
2022-06-30 14:57:54.334140,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,460000,EUR,97.711,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800534
2022-06-30 08:58:12.621219,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,5000000,EUR,97.269,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800075
2022-06-28 15:24:10.309212,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1059000,EUR,95.89,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800918
2022-06-27 15:24:39.843110,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1035000,EUR,96.683,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,801048
2022-06-10 11:14:39.898296,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,43000,EUR,97.374,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800324
2022-06-07 06:45:00.000000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,45000000,EUR,99.419,PERC,IDAF,SSOB,SSOB,BONDVISION,3,D2C,MTF,DBFTFB,
2022-06-01 13:21:24.626503,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,820000,EUR,100.252,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800291
2022-05-26 14:17:31.186926,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,424000,EUR,101.567,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800438
2022-05-25 10:29:32.053136,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,12000,EUR,101.632,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800161
2022-05-18 09:42:24.456117,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1500000,EUR,101.031,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800331
2022-05-17 06:45:00.000000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,200000000,EUR,100.393375,PERC,IDAF,SSOB,SSOB,BONDVISION,3,D2C,MTF,DBFTFB,
2022-05-12 14:50:57.356681,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,261000,EUR,102.555,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,801253
2022-05-10 09:47:19.867672,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,55000,EUR,100.551,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800179
2022-05-10 09:40:07.765267,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,3232000,EUR,100.514,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800162
2022-05-10 06:45:00.000000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,25000000,EUR,100.5724,PERC,IDAF,SSOB,SSOB,BONDVISION,2,D2C,MTF,DBFTFB,
2022-05-09 14:13:21.620866,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,430000,EUR,100.097,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800480
2022-05-04 10:22:38.822381,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,5000,EUR,101.323,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800373
2022-04-26 10:43:01.281148,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,4000,EUR,102.894,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800361
2022-04-19 10:20:02.850857,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,15000,EUR,102.203,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800196
2022-04-13 11:16:22.804877,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,39000,EUR,102.863,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800341
2022-04-11 14:03:17.490850,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,6500000,EUR,102.886,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800285
2022-04-06 11:17:31.159527,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,15000,EUR,103.767,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800563
2022-03-31 10:01:42.575434,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,105.423,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800260
2022-03-30 13:28:17.370645,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,21000,EUR,104.344,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800655
2022-03-23 11:33:47.774921,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,3700000,EUR,106.256,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800268
2022-03-23 11:27:58.212616,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,29000,EUR,106.232,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800209
2022-03-17 09:30:07.855960,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,217000,EUR,107.288,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800068
2022-03-02 09:45:03.224859,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,6000000,EUR,111.163,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800098
2022-02-21 11:03:25.526947,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,4158000,EUR,108.339,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800221
2022-02-15 14:31:13.297129,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1200000,EUR,107.47,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800339
2022-02-03 15:14:07.531853,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,500000,EUR,109.738,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800587
