Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-08-08 15:57:31.941000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,77000,EUR,102.386,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942597252
2022-08-08 14:55:58.646000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,25000,EUR,102.402,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942596600
2022-08-08 13:53:46.726000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,350000,EUR,102.511,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942596047
2022-08-08 13:44:12.251000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,93000,EUR,102.444,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942595954
2022-08-08 13:09:15.517000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,32000,EUR,102.275,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942595665
2022-08-08 12:55:46.149000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,32800,EUR,102.253,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942595537
2022-08-08 10:55:59.359000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,102.368,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942594735
2022-08-05 15:13:34.183000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,80000,EUR,102.029,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407713915
2022-08-05 12:46:18.756000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,120000,EUR,102.494,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407712181
2022-08-05 07:42:41.732000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,50000,EUR,102.979,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407709545
2022-08-05 07:39:10.268000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,33000,EUR,102.999,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407709514
2022-08-05 07:36:21.131000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,112000,EUR,103.08,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407709489
2022-08-04 15:13:14.809000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,52000,EUR,103.092,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896086607
2022-08-04 15:12:21.997000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,509000,EUR,103.109,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896086538
2022-08-04 13:55:56.820000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,30000,EUR,103.016,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896085800
2022-08-04 09:58:08.371000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,337000,EUR,102.732,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896083465
2022-08-03 15:15:11.341000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,800000,EUR,102.417,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459880
2022-08-03 15:13:12.502000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,34000,EUR,102.383,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459555
2022-08-03 14:48:56.776000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,166000,EUR,102.288,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459261
2022-08-03 14:25:58.640000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,102.186,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459014
2022-08-03 14:05:57.585000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,230000,EUR,102.324,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384458660
2022-08-03 13:27:04.660000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,3949,EUR,102.433,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384458109
2022-08-02 15:15:29.437000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1333000,EUR,102.977,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872832160
2022-08-02 14:57:25.641000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,209000,EUR,102.872,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831584
2022-08-02 14:16:25.804000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,880000,EUR,103.206,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831097
2022-08-02 12:39:04.019000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1400,EUR,103.742,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872829919
2022-08-02 11:06:59.062000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,100000,EUR,103.558,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872829173
2022-08-02 09:45:59.689000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,103.711,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872828352
2022-08-02 09:27:07.181000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1154,EUR,103.757,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827820
2022-08-02 09:21:11.909000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,400000,EUR,103.707,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827777
2022-08-02 05:03:32.000000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,42266082,EUR,102.555868,PERC,IDAF,TWEM,TWEM,TRADEWEB,7,D2C,MTF,DBFTFB,'7208404828769223247
2022-08-01 15:22:50.640000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,853000,EUR,103.29,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361203188
2022-08-01 15:15:13.246000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,13000,EUR,103.37,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361203000
2022-08-01 14:49:41.889000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,860000,EUR,103.335,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361202584
2022-08-01 14:16:11.173000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,25000,EUR,103.323,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361202196
2022-08-01 14:16:11.164000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,10000,EUR,103.315,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361202195
2022-08-01 14:05:08.481000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,90000,EUR,103.173,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361202104
2022-08-01 13:22:30.591000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,49000,EUR,103.083,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361201671
2022-08-01 12:15:52.311000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,7277,EUR,102.904,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361201157
2022-08-01 11:32:41.315000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,140000,EUR,102.923,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361200939
2022-08-01 11:15:37.862000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1772616,EUR,102.829,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361200840
2022-08-01 09:46:11.895000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,102.694,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361199718
2022-08-01 08:18:25.934000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1035554,EUR,102.485,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361198987
2022-08-01 08:05:58.712000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,400000,EUR,102.51,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361198747
2022-07-29 15:57:52.191000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,91000,EUR,103.011,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826324379
2022-07-29 15:41:21.466000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,51000,EUR,102.88,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826324260
2022-07-29 15:18:06.003000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,296000,EUR,102.994,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826323610
2022-07-29 15:16:21.283000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,20000,EUR,102.968,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826322976
2022-07-29 15:16:03.664000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,59000,EUR,102.963,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826322700
2022-07-29 15:15:32.305000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,2000,EUR,102.979,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826322237
2022-07-29 15:15:32.114000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1133000,EUR,102.967,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826322203
2022-07-29 15:15:11.444000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1000000,EUR,103.003,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826321882
2022-07-29 15:13:53.567000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,39000,EUR,102.955,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826321226
2022-07-29 15:13:28.513000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,213000,EUR,102.931,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826321093
