Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-21 15:41:35.813000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,134000,EUR,86.545,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605511932733299170
2022-07-21 15:16:06.247000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,168000,EUR,86.77,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605511932733298778
2022-07-21 15:15:24.426000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,2250,EUR,86.761,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605511932733298618
2022-07-21 15:15:07.188000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,140000,EUR,86.756,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605511932733298502
2022-07-19 15:52:21.741000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,450000,EUR,86.349,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710042792
2022-07-19 15:46:49.564000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,450000,EUR,86.309,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710042785
2022-07-19 15:14:07.130000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,750000,EUR,86.346,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710042141
2022-07-19 15:14:04.980000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,10000,EUR,86.336,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710042194
2022-07-19 13:24:54.626000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,725.81,EUR,86.46,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710040467
2022-07-19 10:29:48.074000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,79000,EUR,86.431,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605509733710039016
2022-07-19 05:03:40.000000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,19050000,EUR,86.783423,PERC,IDAF,TWEM,TWEM,TRADEWEB,4,D2C,MTF,DBFTFN,'7208389435606433854
2022-07-18 15:14:10.302000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,300000,EUR,86.6,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605508634198414063
2022-07-18 11:50:24.677000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,1700000,EUR,86.526,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605508634198411981
2022-07-15 15:14:02.177000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,10000,EUR,87.253,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605505335663530132
2022-07-15 15:13:05.743000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,150000,EUR,87.246,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605505335663530018
2022-07-15 12:46:55.157000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,600000,EUR,87.128,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605505335663528868
2022-07-15 10:11:00.334000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,13000,EUR,87.148,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605505335663527735
2022-07-14 15:48:01.258000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,232000,EUR,86.965,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605504236151904063
2022-07-14 11:25:13.965000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,5000,EUR,86.51,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605504236151901042
2022-07-13 15:13:14.220000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,200000,EUR,87.082,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605503136640275355
2022-07-13 14:49:24.649000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,867000,EUR,87.356,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605503136640275021
2022-07-13 11:20:35.133000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,1100000,EUR,87.268,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605503136640272687
2022-07-13 11:17:40.256000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,1000,EUR,87.262,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605503136640272682
2022-07-12 15:14:15.469000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,200000,EUR,87.452,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605502037128647615
2022-07-12 14:39:56.755000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,80000,EUR,87.414,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFN,'3605502037128647144
