Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-08-08 15:15:08.613000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,866000,EUR,101.108,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942596908
2022-08-08 12:59:14.902000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,12873,EUR,101.09,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942595577
2022-08-08 12:21:46.127000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,14500,EUR,101.099,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942595255
2022-08-08 10:32:44.707000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000,EUR,101.114,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942594502
2022-08-05 15:15:08.490000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1200000,EUR,101.118,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407714198
2022-08-05 13:35:32.769000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1631908,EUR,101.125,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407712706
2022-08-04 13:19:41.046000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,39524,EUR,101.158,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896085505
2022-08-04 13:15:29.085000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,34098,EUR,101.159,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896085417
2022-08-04 10:03:59.992000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,500000,EUR,101.148,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896083651
2022-08-03 13:33:06.209000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,50000,EUR,101.165,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384458184
2022-08-03 12:55:58.530000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,50000,EUR,101.16,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384457743
2022-08-03 09:28:17.305000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,800000,EUR,101.198,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384455727
2022-08-02 15:15:09.918000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,347000,EUR,101.202,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872832057
2022-08-02 14:41:57.661000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.218,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831427
2022-08-02 11:09:05.325000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,3539,EUR,101.239,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872829246
2022-08-02 08:44:24.527000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.251,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827339
2022-08-02 05:03:32.000000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,80478000,EUR,101.240106,PERC,IDAF,TWEM,TWEM,TRADEWEB,4,D2C,MTF,DBFTFB,'7208404828769223239
2022-08-01 12:59:25.961000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,100000,EUR,101.224,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361201530
2022-08-01 09:21:39.138000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,710000,EUR,101.216,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361199493
2022-07-29 15:16:04.881000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,340000,EUR,101.241,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826322711
2022-07-29 15:07:48.032000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,39700,EUR,101.25,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826320625
2022-07-29 14:59:30.225000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1005000,EUR,101.239,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826320480
2022-07-29 14:17:22.964000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,730000,EUR,101.233,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826319976
2022-07-29 13:15:18.722000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,555000,EUR,101.223,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826319135
2022-07-29 13:00:41.534000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1800000,EUR,101.223,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826318923
2022-07-29 10:41:42.634000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.221,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826317196
2022-07-29 08:22:03.330000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1420000,EUR,101.233,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605520728826315612
2022-07-28 15:21:04.226000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1840000,EUR,101.267,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605519629314691990
2022-07-28 06:40:32.818000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.209,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605519629314686979
2022-07-28 06:40:32.718000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.209,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605519629314686978
2022-07-28 06:40:32.674000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000000,EUR,101.209,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605519629314686980
2022-07-27 10:52:35.300000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,4367,EUR,101.265,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605518529803061880
2022-07-27 10:12:57.521000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,2000,EUR,101.262,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605518529803061498
2022-07-26 11:09:35.235000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,500000,EUR,101.28,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605517430291433872
2022-07-26 05:03:14.000000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,20000000,EUR,101.24125,PERC,IDAF,TWEM,TWEM,TRADEWEB,2,D2C,MTF,DBFTFB,'7208397132187828714
2022-07-25 15:14:13.174000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,100000,EUR,101.246,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605516330779808015
2022-07-25 09:15:43.978000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,500000,EUR,101.229,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605516330779804960
2022-07-25 07:07:53.881000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,100000,EUR,101.172,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605516330779803707
2022-07-25 06:56:06.213000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,500000,EUR,101.186,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605516330779803657
2022-07-22 07:27:06.439000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,180000,EUR,101.174,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605513032244920602
2022-07-21 15:17:55.917000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,2800000,EUR,101.166,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605511932733298922
2022-07-21 10:25:42.779000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000,EUR,101.203,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605511932733295000
2022-07-20 10:59:59.049000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1000,EUR,101.23,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605510833221667445
2022-07-19 09:32:55.857000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,300000,EUR,101.206,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605509733710038525
2022-07-19 05:03:40.000000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,81330000,EUR,101.24781,PERC,IDAF,TWEM,TWEM,TRADEWEB,4,D2C,MTF,DBFTFB,'7208389435606434252
