Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-21 14:06:19.875000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,100000,EUR,94.575,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,259b31f0-6ad4-4283-92d0-201104d700d6
2022-07-21 10:37:07.440000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,21662,EUR,94.4995,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,e7896d5a-5c62-4914-8d85-209e53c36cf1
2022-07-21 08:48:54.213000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,1955000,EUR,94.238,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,8f58b063-7881-44c8-bc05-86d4ddb8c56e
2022-07-21 08:48:53.053000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,1955000,EUR,94.243,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,3d82846c-46b0-455c-8d5f-55b6c9b10f12
2022-07-20 14:06:07.390000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,2000000,EUR,94.605,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,50cd3ae6-2654-4073-8ea1-1354e1e0ce6c
2022-07-20 12:32:55.923000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,50000,EUR,94.805,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,392100df-55c0-43c2-9376-e8f430e732c0
2022-07-20 10:10:29.795000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,2000000,EUR,94.741,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,af4960fc-e219-46d1-9484-587dbf78b895
2022-07-20 08:48:20.787000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,25000,EUR,94.709,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,adca8188-c056-40af-9a9c-c6228ddfca43
2022-07-19 15:14:49.160000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,100000,EUR,94.536,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,334ca208-c454-497c-ba2b-796914f8a5cc
2022-07-19 11:41:10.839000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,7000,EUR,94.6675,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,e7d7db2f-24f5-4d06-9bb6-23010f6cf7b9
2022-07-19 11:32:49.873000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,2200000,EUR,94.709,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,01c07778-7904-4630-9541-f9e9dee2a2b1
2022-07-19 11:29:59.717000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,800000,EUR,94.744,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,91848830-a0e9-482c-8f33-c45c09b9fabb
2022-07-19 11:29:05.991000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,2200000,EUR,94.71,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,f1b3ead2-2fcc-4b87-967e-ac6d3631827a
2022-07-19 10:02:17.095000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,20000,EUR,94.644,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,48487803-081c-4c66-8446-0a37a2176f4e
