Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-15 09:09:14.549100,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,1094809,EUR,95.321,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800115
2022-07-14 07:48:31.594973,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,189147,EUR,94.724,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800028
2022-07-13 15:19:25.971627,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,2000000,EUR,95.215,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800922
2022-07-12 08:29:24.222900,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,335000,EUR,95.311,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800071
2022-07-08 15:16:56.954169,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,85000,EUR,94.533,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800430
2022-07-05 06:45:00.000000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,13500000,EUR,92.765,PERC,IDAF,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,
2022-06-30 15:27:59.552639,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,4000,EUR,94.047,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,801235
2022-06-28 15:24:40.196028,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,770000,EUR,92.776,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800947
2022-06-28 06:45:00.000000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,80000000,EUR,92.569,PERC,IDAF,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,
2022-06-27 15:21:58.302496,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,753000,EUR,93.189,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800882
2022-06-21 06:45:00.000000,FR0014003513,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2027-02-25,50000000,EUR,92.052,PERC,IDAF,SSOB,SSOB,BONDVISION,2,D2C,MTF,DBFTFB,
