Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-12 06:45:00.000000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,15000000,EUR,85.84,PERC,IDAF,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,
2022-07-08 15:18:11.276925,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,28000,EUR,85.478,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800503
2022-07-05 06:45:00.000000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,108600000,EUR,84.188,PERC,IDAF,SSOB,SSOB,BONDVISION,2,D2C,MTF,DBFTFN,
2022-07-04 10:44:34.576321,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,4700000,EUR,85.372,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800212
2022-06-30 15:21:45.631866,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,45000,EUR,85.009,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800896
2022-06-30 14:57:57.355137,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,3000000,EUR,84.865,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800537
2022-06-30 14:55:45.863564,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,4000000,EUR,84.819,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800497
2022-06-30 10:14:47.967996,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,300000,EUR,84.565,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800162
2022-06-28 15:25:54.613542,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,231000,EUR,83.076,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,801023
2022-06-28 06:45:00.000000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,15000000,EUR,82.631,PERC,IDAF,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,
2022-06-27 15:17:17.638668,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,226000,EUR,83.978,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800580
2022-06-08 07:38:39.845878,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,800000,EUR,85.846,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800052
2022-05-18 13:05:58.273620,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,1000000,EUR,88.103,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800623
2022-05-17 06:45:00.000000,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,20000000,EUR,89.25,PERC,IDAF,SSOB,SSOB,BONDVISION,2,D2C,MTF,DBFTFN,
2022-05-04 10:14:32.863436,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,1800000,EUR,88.746,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800332
2022-04-21 11:28:17.512556,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,6800000,EUR,90.188,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800237
2022-03-24 17:17:04.925667,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,6000000,EUR,93.742,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800625
2022-03-21 11:13:17.278564,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,5000000,EUR,94.708,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800100
2022-03-21 08:28:48.728437,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,5000000,EUR,94.691,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800013
2022-02-10 11:13:13.199003,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,200000,EUR,96.663,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800291
2022-02-07 11:03:09.399404,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-06-22,3900000,EUR,96.564,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFN,800347
